"measuredItemCPC","measuredItemCPC_description","geographicAreaM49","geographicAreaM49_description","timePointYears","timePointYears_description","Value"
"01342.01","Pears","380","Italy","2019","2019",186943.36662521
"01342.01","Pears","4","Afghanistan","2019","2019",3033.491327334
"01342.01","Pears","380","Italy","2020","2020",269761.25072403
"01342.01","Pears","4","Afghanistan","2020","2020",7847.18830298
"01342.02","Quinces","380","Italy","2015","2015",324.789937758
"01342.02","Quinces","380","Italy","2016","2016",457.658548659
"01342.02","Quinces","380","Italy","2017","2017",394.231557447
"01342.02","Quinces","380","Italy","2018","2018",392.044419819
"01342.02","Quinces","380","Italy","2019","2019",392.044419819
"01342.02","Quinces","380","Italy","2020","2020",392.044419819
"01343","Apricots","380","Italy","2015","2015",178200.901798557
"01343","Apricots","4","Afghanistan","2015","2015",71819.626302958
"01343","Apricots","380","Italy","2016","2016",194133.152908713
"01343","Apricots","4","Afghanistan","2016","2016",14656.163960782
"01343","Apricots","380","Italy","2017","2017",218173.226028916
"01343","Apricots","4","Afghanistan","2017","2017",107964.508139848
"01343","Apricots","380","Italy","2018","2018",187579.89663006
"01343","Apricots","4","Afghanistan","2018","2018",89347.395877158
"01343","Apricots","380","Italy","2019","2019",223593.72972247
"01343","Apricots","4","Afghanistan","2019","2019",105955.367076039
"01343","Apricots","380","Italy","2020","2020",142007.69573714
"01343","Apricots","4","Afghanistan","2020","2020",107941.574609564
"01344.01","Sour cherries","380","Italy","2015","2015",5961.669671424
"01344.01","Sour cherries","380","Italy","2016","2016",5953.808820064
"01344.01","Sour cherries","380","Italy","2017","2017",5963.241841696
"01344.01","Sour cherries","380","Italy","2018","2018",0
"01344.01","Sour cherries","380","Italy","2019","2019",0
"01344.01","Sour cherries","380","Italy","2020","2020",0
"01344.02","Cherries","380","Italy","2015","2015",195796.234323476
"01344.02","Cherries","380","Italy","2016","2016",167196.546787552
"01344.02","Cherries","380","Italy","2017","2017",208377.207092036
"01344.02","Cherries","380","Italy","2018","2018",202282.3072592
"01344.02","Cherries","380","Italy","2019","2019",173737.2429944
"01344.02","Cherries","380","Italy","2020","2020",183921.83999752
"01345","Peaches and nectarines","380","Italy","2015","2015",868218.306469624
"01345","Peaches and nectarines","4","Afghanistan","2015","2015",17045.161402786
"01345","Peaches and nectarines","380","Italy","2016","2016",871096.591940267
"01345","Peaches and nectarines","4","Afghanistan","2016","2016",9339.630573174
"01345","Peaches and nectarines","380","Italy","2017","2017",763182.548680959
"01345","Peaches and nectarines","4","Afghanistan","2017","2017",37872.305707214
"01345","Peaches and nectarines","380","Italy","2018","2018",665526.47808372
"01345","Peaches and nectarines","4","Afghanistan","2018","2018",29249.653176865
"01345","Peaches and nectarines","380","Italy","2019","2019",747451.13513026
"01345","Peaches and nectarines","4","Afghanistan","2019","2019",37442.118881519
"01345","Peaches and nectarines","380","Italy","2020","2020",619560.55811265
"01345","Peaches and nectarines","4","Afghanistan","2020","2020",42720.907858948
"01346","Plums and sloes","380","Italy","2015","2015",124020.612670728
"01346","Plums and sloes","4","Afghanistan","2015","2015",20713.310402694
"01346","Plums and sloes","380","Italy","2016","2016",136899.370957758
"01346","Plums and sloes","4","Afghanistan","2016","2016",11476.452845808
"01346","Plums and sloes","380","Italy","2017","2017",128363.356014132
"01346","Plums and sloes","4","Afghanistan","2017","2017",19982.697483738
"01346","Plums and sloes","380","Italy","2018","2018",122635.05302646
"01346","Plums and sloes","4","Afghanistan","2018","2018",20898.13438389
"01346","Plums and sloes","380","Italy","2019","2019",133358.56522404
"01346","Plums and sloes","4","Afghanistan","2019","2019",23767.247595342
"01346","Plums and sloes","380","Italy","2020","2020",96933.35577558
"01346","Plums and sloes","4","Afghanistan","2020","2020",18527.053578144
"01349.10","Pome fruit n.e.","380","Italy","2015","2015",NA
"01349.10","Pome fruit n.e.","380","Italy","2016","2016",NA
